,0
0,Ank1
1,Kcnmb2
2,Ankrd55
3,Slc32a1
4,Btbd11
5,Arx
6,Dlx1
7,Gad2
8,Pvalb
9,Pdgfra
10,Nxph4
11,Car3
12,Slc17a8
13,Syt6
14,Rspo1
15,Lratd2
16,Deptor
17,Ndnf
18,Chrna2
19,Calb1
20,Sncg
21,Th
22,Gad1
23,Slc17a7
24,Neurod1
25,Rorb
26,Fezf2
27,Adarb2
28,Lamp5
29,Vip
30,Lhx6
31,Chodl
32,Fa2h
33,Ly86
34,Ly6c2
35,Dcn
36,Fgfr3
37,Map3k7cl
38,Nxph1
39,Pcp4
40,Neurod6
41,Nrn1
42,Sst
43,Nrgn
44,Ptn
45,Cck
46,Synpr
47,Slc6a1
48,Dlx6
49,Atp1a3
50,Arpp19
51,Npy
52,Cxcl14
53,Rab3b
54,Cryab
55,Penk
56,Tesc
57,Crh
58,Caln1
59,Kcnip1
60,Gm11549
61,Ctxn1
62,Car4
63,Nfib
64,Id2
65,Igfbp6
66,Itpka
67,Ptprd
68,Sv2b
69,Vxn
70,Reln
71,Rprml
72,Cnr1
73,Cacna2d3
74,Plpp4
75,Adcy2
76,Kcnip4
77,Sparcl1
78,Brinp3
