,0
0,3110035E14Rik
1,AI593442
2,Actr1b
3,Adarb2
4,Adcy2
5,Adra1b
6,Ak5
7,Alcam
8,Aldoc
9,Ank1
10,Ankrd55
11,Ano3
12,Ap1s2
13,Apbb1
14,Apod
15,Apoe
16,App
17,Arpp19
18,Atp1a3
19,Atp2b4
20,Atp5a1
21,Atp5b
22,Atp6ap1l
23,B2m
24,B3galt2
25,Baiap2
26,Bdnf
27,Bex3
28,Bin1
29,Blnk
30,Brinp1
31,Btbd3
32,C1qb
33,C1ql1
34,Cacna2d3
35,Cadm1
36,Cadps2
37,Calb1
38,Caln1
39,Camk2n1
40,Camkv
41,Car10
42,Car4
43,Cbln2
44,Ccdc136
45,Cck
46,Cd24a
47,Cd34
48,Cdh6
49,Cdh9
50,Chga
51,Chgb
52,Chodl
53,Chrm2
54,Chrna2
55,Ckmt1
56,Clstn1
57,Clstn3
58,Clu
59,Cnr1
60,Coch
61,Col25a1
62,Col6a1
63,Cort
64,Cox6a2
65,Cp
66,Cplx1
67,Cplx2
68,Cplx3
69,Cpne4
70,Cpne6
71,Cpne7
72,Cpne9
73,Crtac1
74,Cryab
75,Crym
76,Ctgf
77,Ctsh
78,Ctxn1
79,Cx3cl1
80,Cx3cr1
81,Cxcl12
82,Cxcl14
83,Dcn
84,Deptor
85,Dgkb
86,Diras2
87,Dkkl1
88,Dlx6os1
89,Dnajc21
90,Dner
91,Dnm1
92,Edil3
93,Elmo1
94,Enc1
95,Enpp2
96,Ephx4
97,Etv1
98,Fa2h
99,Fam163b
100,Fam171b
101,Fam213a
102,Fam3c
103,Fam84b
104,Fez1
105,Fezf2
106,Fgf12
107,Fgf13
108,Fgfr3
109,Fkbp1a
110,Flywch1
111,Fndc5
112,Fth1
113,Gaa
114,Gabra1
115,Gabrb2
116,Gabrg1
117,Gabrg2
118,Gad1
119,Gad2
120,Galnt14
121,Galnt9
122,Gap43
123,Garnl3
124,Gja1
125,Glrb
126,Gm11549
127,Gm34583
128,Gpd1
129,Gpr83
130,Gpr88
131,Gprasp2
132,Grb14
133,Gria1
134,Grik1
135,Grin3a
136,Grm8
137,Gsta4
138,Gstm5
139,Gucy1a1
140,Hapln1
141,Hpca
142,Hpcal1
143,Hs3st2
144,Hsbp1
145,Hspa8
146,Htra1
147,Id2
148,Idh3a
149,Igfbp4
150,Igfbp7
151,Igsf21
152,Itfg1
153,Itm2c
154,Itpka
155,Jam2
156,Kcnab1
157,Kcnc2
158,Kcnip1
159,Kcnip2
160,Kcnip4
161,Kcnmb2
162,Kcnmb4
163,Khdrbs3
164,Kidins220
165,Kit
166,Klf5
167,Lamp5
168,Laptm4b
169,Ldb2
170,Ldha
171,Ldhb
172,Lgals1
173,Lhx6
174,Lmo3
175,Luzp2
176,Ly6c2
177,Ly86
178,Lypd6
179,Mafb
180,Maged1
181,Mal2
182,Malat1
183,Mapk1
184,Mapk10
185,Mef2c
186,Meg3
187,Meis2
188,Mgat4c
189,Mgll
190,Mir99ahg
191,Mmp17
192,Myl4
193,Nap1l1
194,Ncald
195,Ncdn
196,Ndrg4
197,Ndufa11
198,Ndufa13
199,Necab1
200,Necab2
201,Necab3
202,Nefl
203,Nefm
204,Nek7
205,Nell2
206,Neto2
207,Neurod1
208,Neurod6
209,Nfib
210,Nos1
211,Nov
212,Nptx2
213,Npy
214,Nr4a2
215,Nrep
216,Nrgn
217,Nrip3
218,Nrn1
219,Nrsn1
220,Nrsn2
221,Nrxn1
222,Nsf
223,Nxph1
224,Ogfrl1
225,Olfm2
226,Olfm3
227,Osbpl1a
228,Pak1
229,Palmd
230,Pamr1
231,Pantr1
232,Parm1
233,Pcdh15
234,Pcdh17
235,Pcdh8
236,Pcdh9
237,Pcp4
238,Pcp4l1
239,Pcsk1
240,Pde1a
241,Pdgfra
242,Penk
243,Pfkl
244,Phlda1
245,Pitpna
246,Pitpnc1
247,Pja1
248,Pja2
249,Plcxd2
250,Plcxd3
251,Plekha2
252,Plp1
253,Plpp3
254,Pls3
255,Podxl2
