,0
0,Zmat4
1,Kcnmb2
2,Snca
3,Slc1a2
4,Cryab
5,Crh
6,Gm11549
7,Gad1
8,Dlx1
9,Id2
10,Ly6c2
11,Tmsb10
12,Btbd11
13,Grik1
14,Nrn1
15,Pdgfra
16,Lamp5
17,Fezf2
18,Fgf13
19,Adarb2
20,Th
21,Fa2h
22,Nrxn1
23,Hpca
24,Camk2n1
25,Sv2b
26,Sparcl1
27,Thsd7a
28,Igfbp6
29,Synpr
30,Rab3c
31,Ctxn1
32,R3hdm1
33,Syt1
34,Ndnf
35,Itpka
36,Cdh13
37,Igfbp4
38,Stxbp6
39,Meis2
40,Ptprt
41,Gabra1
42,Gad2
43,Cacna2d3
44,Snhg11
45,Rgs4
46,Penk
47,Ndrg4
48,Vip
49,Nfib
50,Rorb
51,Cnr1
52,Chodl
53,Lhx6
54,Cdh9
55,Reln
56,Malat1
57,Fam84b
58,Alcam
59,Tmsb4x
60,Pcp4l1
61,Ptprd
62,Mgat4c
63,Adcy2
64,Etv1
65,Npy
66,Nov
67,Car3
68,Fxyd6
69,Hs3st2
70,Nrgn
71,Ptn
72,Pde1a
73,Arpp19
74,Kcnip4
75,Cpne7
76,Caln1
77,Cplx3
78,Snrpn
79,Kcnip1
80,Sema3e
81,Slc6a1
82,Dlx6os1
83,Rgs10
84,Lrrtm4
85,Crym
86,Slc17a7
87,Neurod1
88,Sst
89,Atp1a3
90,Rspo1
91,Calb1
92,Sez6
93,Rprml
94,Fam19a1
95,Pthlh
96,Brinp3
97,Cck
98,Cxcl14
99,Fgfr3
100,Serpine2
101,Rasl10a
102,Pantr1
103,Slc32a1
104,Car4
105,Chrna2
106,Ankrd55
107,Npas1
108,Cd34
109,Deptor
110,Igsf21
111,Ank1
112,Pcp4
113,Sncg
114,3110035E14Rik
115,Dcn
116,Arx
117,Pvalb
118,Nxph4
119,Bdnf
120,Dgkb
121,Neurod6
122,Serpini1
123,Nxph1
124,Nek7
125,Rab3b
126,Luzp2
127,Ly86
128,Syt6
129,Map3k7cl
130,Tesc
131,Tac2
132,Ppapdc1a
