sample_name,x,y,rmax,subclass,broad_class,x_um,y_um,layer
294,13044.1079154533,16381.929422668101,0.127492382520963,L2/3 IT,Ex,2560.1548332858656,6313.971991763621,L2/3
295,12305.4757589406,12253.951759996698,0.0708185184988723,L4,Ex,2480.530286813797,5868.975999727644,L4_polygon_uncut
296,8931.64715149326,12254.539373271202,0.165344229103044,L5 IT,Ex,2116.8315629309736,5869.039344438635,L5_polygon_uncut
298,12373.663006628101,16668.4061923785,0.19441300050569602,L2/3 IT,Ex,2487.8808721145097,6344.854187538403,L2/3
301,9052.00719898455,10737.4779660107,0.0960279275474102,L6 IT,Ex,2129.8063760505347,5705.500124735953,L6a_polygon_uncut
304,13776.153735363701,12440.8760611705,0.0961390187754282,Lamp5,Inh,2639.069372672207,5889.12643939418,L2/3
306,17421.6412950176,9111.346901406321,0.0895286677642702,L2/3 IT,Ex,3032.052931602898,5530.203195971601,L2/3
309,7950.663946527429,12300.809331955701,0.183481484751636,Oligo,Glia,2011.081573435657,5874.027245984825,L6a_polygon_uncut
310,7827.75171505337,10626.1499319526,0.0778587205315965,L6 IT,Ex,1997.8316348827534,5693.49896266449,L6a_polygon_uncut
312,12309.8104223956,10709.8883939415,0.0317408560572738,Vip,Inh,2480.9975635342457,5702.525968866894,L5_polygon_uncut
313,14836.9784553292,12187.6260799573,0.13236158525307198,Sst,Inh,2753.426277484488,5861.826091419397,L2/3
314,10690.3113283891,8155.16798033726,0.0642215511988664,Sst,Inh,2306.415561200345,5427.127108280357,L6a_polygon_uncut
315,6655.3148439401,12731.6297126471,0.0831808096791962,L6 PT,Ex,1871.442940176743,5920.469683023357,L6a_polygon_uncut
316,15662.24611766,10397.4925972435,0.0498717614516329,L2/3 IT,Ex,2842.3901314837485,5668.849701982849,L2/3
317,8683.23077828204,12338.8932199435,0.066331356656443,L5 PT,Ex,2090.0522778988043,5878.13268910991,L5_polygon_uncut
319,16703.187775206497,7079.401417361841,0.0483822967866734,L4,Ex,2954.6036421672607,5311.159472791606,L2/3
321,14658.5829137522,8060.30863815083,0.0619946389380091,L4,Ex,2734.195238102487,5416.90127119266,L4_polygon_uncut
322,9972.905774149542,6636.14044337168,0.20831891443201,L6 PT,Ex,2229.0792424533206,5263.375939795467,L6a_polygon_uncut
325,7821.78273554989,10320.529006787,0.132678438567871,L6 IT,Ex,1997.1881788922783,5660.553026931639,L6a_polygon_uncut
326,6635.1106638214405,13521.1012560565,0.0590643671128967,L5 PT,Ex,1869.2649295599513,6005.57471540289,L6a_polygon_uncut
329,8110.04545607513,10402.816434945,0.25529959959999,L6 PT,Ex,2028.262900164899,5669.423611687071,L6a_polygon_uncut
332,9219.8289660709,8659.53601914849,0.0992436238564025,L6 PT,Ex,2147.897562542443,5481.497982864207,L6a_polygon_uncut
334,11695.899660681298,16736.8780426382,0.053849465046085995,L2/3 IT,Ex,2414.8179834214443,6352.235452996398,L2/3
337,14651.510312460301,12735.157434523,0.0725267401481593,L4,Ex,2733.4328116832203,5920.849971441579,L2/3
340,13912.4953394063,14986.362349621699,0.085116998175347,L2/3 IT,Ex,2653.766997587999,6163.529861289219,L2/3
347,14578.6247113734,10508.7098678482,0.133935813340292,L2/3 IT,Ex,2725.575743886053,5680.838923754036,L4_polygon_uncut
348,16549.2949149798,9706.478426919759,0.0542944586857115,Sst,Inh,2938.0139918348227,5594.35837442195,L2/3
350,13648.036850401399,6178.072591059289,0.12308454561160302,L5 PT,Ex,2625.258372473271,5213.996225316191,L5_polygon_uncut
351,12340.4459175242,11582.3518570327,0.0402312753684611,L4,Ex,2484.300069909109,5796.577530188125,L4_polygon_uncut
354,10841.5429955272,8759.242475303241,0.16099343027915697,L6 IT,Ex,2322.718334917832,5492.246338837689,VISp
356,11019.296100284499,5241.26161438224,0.131207395831521,L6 IT,Ex,2341.8801196106688,5113.008002030406,L6a_polygon_uncut
357,9675.49181915911,8255.135053840992,0.130959533879322,L6 IT,Ex,2197.018018105352,5437.903558804059,L6a_polygon_uncut
362,14842.9323086517,9531.71459737058,0.0374121075673373,L4,Ex,2754.068102872653,5575.518833596549,L4_polygon_uncut
363,12310.0851272267,16653.368374319598,0.0487669660617526,L4,Ex,2481.027176715038,6343.233110751653,L2/3
366,13117.2409725999,7011.82714156933,0.0476033683301179,Sst,Inh,2568.0385768462693,5303.874965861174,L5_polygon_uncut
367,10930.7522577567,14365.9511356,0.105780751757666,L4,Ex,2332.335093386172,6096.64953241768,L4_polygon_uncut
371,8470.94232717805,9314.93624340527,0.0676801962999284,L6 PT,Ex,2067.167582869794,5552.150127039088,L6a_polygon_uncut
373,7403.083619393729,11465.746376983201,0.0567350626416743,L6 PT,Ex,1952.0524141706442,5784.007459438789,L6a_polygon_uncut
374,14767.1479169352,12238.2360923573,0.0582989294169774,L2/3 IT,Ex,2745.8985454456147,5867.281850756117,L2/3
377,13272.234635531999,9590.26822419521,0.0631065513194061,L5 IT,Ex,2584.7468937103495,5581.830914568243,L4_polygon_uncut
380,6886.736905923371,12807.0570223367,0.0788906263395338,L6 PT,Ex,1896.3902384585394,5928.600747007897,L6a_polygon_uncut
382,10936.2935067873,13750.8302609503,0.0805849468087484,Pvalb,Inh,2332.932440031671,6030.339502130442,VISp
384,13600.6156906077,8170.32864688292,0.0611575643116325,Pvalb,Inh,2620.1463714475103,5428.761428133979,L5_polygon_uncut
386,12469.1030116279,5885.626519047521,0.0761725242220981,L2/3 IT,Ex,2498.1693046534874,5182.470538753323,L5_polygon_uncut
387,11368.8227632499,17344.699245468797,0.0701013716740223,L2/3 IT,Ex,2379.5590938783394,6417.758578661536,L2/3
394,9528.36690602473,15253.669206801298,0.0351080523984163,L5 IT,Ex,2181.157952469466,6192.34554049318,L4_polygon_uncut
400,9398.87463497231,14135.958844916999,0.0883119766278642,L5 NP,Ex,2167.1986856500152,6071.856363482053,L5_polygon_uncut
406,10961.7416552245,16757.9924051337,0.0680674388784606,Pvalb,Inh,2335.675750433201,6354.511581273413,L2/3
412,11160.745626451,4710.98535623607,0.110670971517494,L6 IT,Ex,2357.128378531418,5055.844221402249,L6a_polygon_uncut
413,6407.53491420343,13276.0332074703,0.0489226868419083,Pvalb,Inh,1844.7322637511297,5979.156379765298,L6a_polygon_uncut
416,10455.4460552655,14283.890963952601,0.0594015178289536,L4,Ex,2281.097084757621,6087.803445914091,L4_polygon_uncut
417,17589.9480958945,7395.49732642815,0.0828278524210229,L2/3 IT,Ex,3050.1964047374267,5345.234611788955,L2/3
419,9304.21479938169,14439.053334134,0.0610863926864955,Pvalb,Inh,2156.9943553733465,6104.529949419645,L5_polygon_uncut
421,10622.9790336398,16109.0646155836,0.0487878313515865,L2/3 IT,Ex,2299.1571398263704,6284.557165559912,L4_polygon_uncut
422,10024.6348998115,14280.443858736899,0.0531866204284987,L4,Ex,2234.65564219968,6087.431847971838,L4_polygon_uncut
423,12770.8040182223,13782.247101790801,0.0943337476601197,L2/3 IT,Ex,2530.692673164364,6033.726237573048,L2/3
425,10241.9755352271,11687.236779904599,0.115167404561917,L2/3 IT,Ex,2258.0849626974814,5807.884124873715,L5_polygon_uncut
428,8028.36110963035,11308.516564793701,0.051519709104922005,L6 IT,Ex,2019.4573276181518,5767.058085684761,L6a_polygon_uncut
429,12154.3078051988,12407.347887416001,0.0503994078764546,L4,Ex,2464.2343814004307,5885.512102263445,L4_polygon_uncut
430,10374.1866686377,14581.4538944556,0.0366686302739545,L4,Ex,2272.3373228791443,6119.880729822314,L4_polygon_uncut
431,8841.56545420655,10259.7336263221,0.124079266042944,L6 PT,Ex,2107.120755963466,5653.999284917522,L6a_polygon_uncut
432,11724.9000097652,14537.978396981298,0.0746998214594848,L2/3 IT,Ex,2417.9442210526886,6115.1940711945845,L4_polygon_uncut
433,10332.0566980125,14096.1870687759,0.0585661177481116,Pvalb,Inh,2267.7957120457477,6067.568966014042,L4_polygon_uncut
437,12344.1209449699,13346.9905171876,0.10281223154791802,L4,Ex,2484.6962378677554,5986.805577752823,L4_polygon_uncut
441,13694.1660151425,13898.2209781524,0.0689031634375574,L2/3 IT,Ex,2630.2310964323615,6046.228221444829,L2/3
