sample_name,x,y,rmax,subclass,broad_class,x_um,y_um,layer
1,9428.77577715789,8798.33373598945,1.99458613841405,L6 PT,Ex,2170.4220287776207,5496.460376739663,L6a_polygon_uncut
12,17234.8509061372,7993.1946038181995,1.74807220875956,L2/3 IT,Ex,3011.91692768159,5409.666378291602,L2/3
18,16908.4207350762,11312.038293514099,0.4654977705104891,L2/3 IT,Ex,2976.7277552412143,5767.43772804082,L1_polygon_uncut
20,15281.9961699582,12904.7941325447,-0.0673734194026814,L2/3 IT,Ex,2801.399187121494,5939.1368074883185,L2/3
22,14845.048456133101,12740.1572363712,2.87837846210679,L2/3 IT,Ex,2754.2962235711484,5921.388950080815,L2/3
25,12977.905620425201,9680.21310038565,-0.652231360406706,Pvalb,Inh,2553.0182258818368,5591.5269722215735,L5_polygon_uncut
27,14793.316445729299,8898.35792182342,0.553273195256975,L4,Ex,2748.7195128496187,5507.242983972565,L4_polygon_uncut
28,14743.5754769299,12166.5995757872,0.23825218537186998,L2/3 IT,Ex,2743.3574364130436,5859.5594342698605,L2/3
30,10658.004867190799,4017.3471906466207,1.5018609819972601,L6b,Ex,2302.9329246831685,4981.070027151705,L6b_polygon_uncut
35,14962.252402715802,13837.3131052396,-0.0211956936937248,L2/3 IT,Ex,2766.9308090127633,6039.662352744829,L2/3
37,10508.4133514697,8456.66683858644,2.33789817112918,L6 PT,Ex,2286.806959288434,5459.628685199618,L6a_polygon_uncut
40,15406.567401013,10077.8316908011,-0.0828800708828381,L2/3 IT,Ex,2814.8279658292013,5634.390256268359,L2/3
45,11790.817078021699,8935.743653079458,2.86786927957446,L5 PT,Ex,2425.050081010739,5511.273165801966,L5_polygon_uncut
47,16950.2810460039,9087.18814819821,-0.344540027885118,L2/3 IT,Ex,2981.2402967592207,5527.598882375767,L2/3
51,12721.2175195565,7150.67953947771,1.24209020561395,L5 PT,Ex,2525.347248608191,5318.843254355697,L5_polygon_uncut
52,13927.9529460176,6627.916302628149,0.48344452192217896,L5 IT,Ex,2655.4333275806976,5262.489377423314,L5_polygon_uncut
53,10881.391336049599,10206.7908037617,4.39431280493996,Sst,Inh,2327.013986026147,5648.292048645511,L5_polygon_uncut
59,10184.162249114499,9724.5893050008,1.6785934818221102,L6 IT,Ex,2251.8526904545433,5596.310727079086,L5_polygon_uncut
61,14713.8225593227,14330.2270659423,-0.6576672986697779,L2/3 IT,Ex,2740.1500718949874,6092.79847770858,L2/3
62,7546.90008578848,10190.7502451449,3.64908059556929,Vip,Inh,1967.5558292479982,5646.56287642662,L6a_polygon_uncut
69,10006.860384247,8851.15747915208,-2.89171232495669,Lamp5,Inh,2232.7395494218267,5502.154776252594,L6a_polygon_uncut
70,9424.84843694979,11172.138262826498,3.59814457343424,L6 IT,Ex,2169.9986615031876,5752.3565047326965,L5_polygon_uncut
71,9396.56324230055,10889.7874300345,1.72082618286942,L5 IT,Ex,2166.9495175199995,5721.919084957719,L5_polygon_uncut
73,9869.6561520497,16403.6094970458,1.44545465368148,L2/3 IT,Ex,2217.9489331909576,6316.3091037815375,L4_polygon_uncut
81,6150.058449568629,10591.9184470851,-2.51710965249566,Pvalb,Inh,1816.9763008634982,5689.808808595773,L6b_polygon_uncut
82,13258.6513389101,10948.7554768506,-0.457028346930343,L4,Ex,2583.282614334509,5728.275840404494,L4_polygon_uncut
83,12531.728706486101,13155.609291956202,1.15543085039319,L4,Ex,2504.9203545592018,5966.174681672879,L4_polygon_uncut
96,10536.6257857463,7644.888732971909,-1.6764473815578798,L2/3 IT,Ex,2289.8482597034513,5372.119005414372,L6a_polygon_uncut
108,15777.619749066102,9101.46362134704,1.3122454446736398,L2/3 IT,Ex,2854.827408949326,5529.137778381211,L2/3
111,9745.331440221851,9236.381466517729,2.39219542643336,L6 IT,Ex,2204.5467292559156,5543.681922090611,L6a_polygon_uncut
114,12143.9433559195,13482.9944289371,0.0398616283391817,L4,Ex,2463.1170937681222,6001.466799439419,L4_polygon_uncut
117,8155.89700333506,8269.392244867042,3.32484753840016,L6b,Ex,2033.2056969595196,5439.440483996667,L6b_polygon_uncut
124,16601.5966541074,7721.692302191641,-0.35312088531878494,L2/3 IT,Ex,2943.6521193127783,5380.398430176259,L2/3
129,13357.4276181263,10772.0927725617,1.71854851539538,L4,Ex,2593.9306972340155,5709.231600882151,L4_polygon_uncut
131,15347.208427393201,7713.294007832959,0.133979847750878,L4,Ex,2808.429068472987,5379.493094044393,L4_polygon_uncut
134,9560.79428723592,10281.0932054312,-3.1059751710000003,Pvalb,Inh,2184.6536241640324,5656.301847545484,L5_polygon_uncut
139,9208.967699776858,14100.2051719253,-3.0000987625,L5 PT,Ex,2146.7267180359454,6068.002117533548,L5_polygon_uncut
140,9245.88497857832,10829.4073815804,3.5367155084494706,L6 IT,Ex,2150.706400690743,5715.4101157343675,L5_polygon_uncut
142,10552.533221754,6911.31056079937,4.4784451653532,L6 IT,Ex,2291.563081305081,5293.039278454172,L6a_polygon_uncut
143,12176.325023933401,13960.750267138501,1.74114899344008,L2/3 IT,Ex,2466.6078375800207,6052.96887879753,L4_polygon_uncut
147,12445.098591760201,10857.7722830079,-0.371663369344458,L4,Ex,2495.5816281917496,5718.4678521082515,L4_polygon_uncut
150,11163.3782818621,13026.3725724679,-3.26525315357364,L4,Ex,2357.4121787847344,5952.24296331204,L4_polygon_uncut
155,14160.352226456398,7622.3539421326,-3.3800766979842995,L2/3 IT,Ex,2680.4859700119996,5369.689754961894,L5_polygon_uncut
156,8407.60760048532,8673.486886275601,-0.588461764799338,L6 PT,Ex,2060.3400993323175,5483.001886340509,L6b_polygon_uncut
158,12563.148351668799,6116.05366223042,3.9811215443948598,L6 IT,Ex,2508.3073923098964,5207.310584788439,L5_polygon_uncut
159,12258.4948795314,7217.587436516421,-0.213723391838267,L5 IT,Ex,2475.4657480134847,5326.05592565647,L5_polygon_uncut
163,12179.4701832126,12783.667468949,-1.91465962490887,L2/3 IT,Ex,2466.946885750318,5926.079353152702,L4_polygon_uncut
165,9464.688204565458,6398.3034060624595,4.14890166548387,L6 PT,Ex,2174.2933884521563,5237.737107173533,L6b_polygon_uncut
170,12495.541381359199,10920.7306424612,-2.72543469763421,L4,Ex,2501.0193609105218,5725.254763257317,L4_polygon_uncut
174,10832.728930903,11471.668426493401,4.105910803660819,L5 PT,Ex,2321.768178751344,5784.645856375989,L5_polygon_uncut
176,12791.7316611916,4871.6722193413,2.8258160273148,Pvalb,Inh,2532.9486730764547,5073.166265244992,L5_polygon_uncut
181,11750.6935129651,4920.9597201418,2.41874251543592,L6 PT,Ex,2420.724760697638,5078.479457831286,L6a_polygon_uncut
182,8751.67805333403,8787.47905388548,0.14722797721698,L6 PT,Ex,2097.4308941494082,5495.290242008855,L6a_polygon_uncut
185,15871.4261740193,7021.30339507061,0.8470205430891159,L4,Ex,2864.9397415592807,5304.896505988612,L4_polygon_uncut
189,15998.1848533828,8471.813496062141,2.2085036555732005,L2/3 IT,Ex,2878.604327194666,5461.261494875499,L2/3
191,12679.106482946201,6915.30877341756,-3.4348850386900596,Vip,Inh,2520.807678861601,5293.470285774413,L5_polygon_uncut
192,11525.37295371,16624.3008249793,2.61465843639485,Pvalb,Inh,2396.4352044099383,6340.099628932769,L2/3
199,12382.933491227099,5328.47610756316,2.1581714946513797,L6 IT,Ex,2488.8802303542816,5122.409724395309,L6a_polygon_uncut
