,gene
0,Hs3st2
1,Grik1
2,Mpped1
3,Syt6
4,Slc17a8
5,Cux2
6,Tgm3
7,Slit3
8,Mdga1
9,Nipal3
10,Ncam2
11,Cntn5
12,Inf2
13,Kcna6
14,Satb2
15,Brinp2
16,Sorcs3
17,Lmo3
18,Deptor
19,Etv1
20,Prox1
21,Ly6c2
22,Fam19a2
23,Coro6
24,Galnt14
25,Fam19a1
26,Prkcg
27,Pdgfra
28,Fa2h
29,Chodl
30,Sv2c
31,Fam84b
32,Tbc1d30
33,Zfp827
34,Cdh22
35,Syt6
36,Lamp5
37,Nos1
38,Reln
39,Atp2b4
40,Cacng5
41,Rxfp1
42,Cbfb
43,Car3
44,Pvalb
45,Ndnf
46,Tbr1
47,Ly86
48,Dcn
49,Tmem108
50,Tshz2
51,Meis2
52,Lhx6
53,Map3k7cl
54,Nell1
55,Cplx2
56,Fgfr3
57,Nxph4
58,Sema3e
59,Plcb4
60,Zdhhc22
61,Rorb
62,Fosl2
63,Foxp2
64,Rspo1
65,Gm3764
66,Vstm2l
67,Pcdh8
68,Brinp3
69,Malat1
70,Calm1
71,Rorb
