,gene
0,Pvalb
1,Vip
2,Nos1
3,Crhbp
4,Gabrb2
5,Gpr125
6,Rgs12
7,Chst1
8,Tcerg1l
9,Htr1f
10,Ptprt
11,Kcnk2
12,Fosl2
13,Chrna2
14,Fam19a1
15,Ngf
16,Pdgfra
17,Fa2h
18,Chodl
19,Clstn3
20,Ptprd
21,Tspan12
22,Mef2c
23,Pde1a
24,Npas1
25,Cplx2
26,Rasgrf1
27,Kcnip2
28,Cacna2d3
29,Kcnip4
30,Thsd7a
31,Caln1
32,A830018L16Rik
33,Col25a1
34,Sv2c
35,Ank1
36,Sema5a
37,Kcnmb2
38,Lingo2
39,Pcdh7
40,Slc32a1
41,Lmo3
42,Unc13c
43,Pcdh17
44,Slc42a2
45,Grik7
46,Fgfr3
47,Zbtb20
48,Dlx1
49,Sncg
50,Galnt9
51,Alcam
52,Th
53,Calb1
54,Prox1
55,Ly6c2
56,Meis2
57,Lhx6
58,Map3k7cl
59,Pvalb
60,Gad2
61,Ly86
62,Dcn
63,Oprm1
64,Cntn5
65,Sema5a
66,Kcns3
67,Satb2
