,gene
0,9330158h04rik
1,A330009n23rik
2,A830009l08rik
3,Ackr2
4,Acsl5
5,Adamts13
6,Adamts17
7,Adamts19
8,Adamts2
9,Adamtsl1
10,Adamtsl5
11,Adarb2
12,Adrb1
13,Agmat
14,Ai593442
15,Ak1
16,Alk
17,Amn
18,Angpt1
19,Ank3
20,Anks1b
21,Ano4
22,Anpep
23,Ap2a1
24,Apmap
25,Arhgap25
26,Arhgef28
27,Arid5a
28,Arx
29,Ascl1
30,Asic4
31,Astn2
32,Atp10d
33,Atp2b4
34,Atp2c1
35,Atp8a1
36,Avpr1a
37,Aw551984
38,B3gat1
39,Baiap2l2
40,Baiap3
41,Baz1a
42,Bc006965
43,Bcar3
44,Bcat1
45,Bcl11b
46,Bmp3
47,Btbd11
48,Btbd3
49,C1ql3
50,C1qtnf7
51,Cadm2
52,Cadps
53,Caln1
54,Camk2a
55,Camk4
56,Car3
57,Casz1
58,Ccbe1
59,Ccdc50
60,Ccdc80
61,Cckbr
62,Ccnd1
63,Ccng1
64,Ccser1
65,Cdc42bpa
66,Cdh12
67,Cdh18
68,Cdh22
69,Cdh26
70,Cdh6
71,Cdk18
72,Celf2
73,Cemip
74,Cep170b
75,Cers6
76,Cgnl1
77,Chat
78,Chrdl1
79,Chrm2
80,Chrm3
81,Chrna2
82,Chrnb3
83,Chst15
84,Cit
85,Clstn2
86,Cnksr2
87,Cntfr
88,Cntn4
89,Cntn5
90,Cntnap2
91,Cntnap3
92,Cntnap4
93,Cntnap5a
94,Cntnap5b
95,Cntnap5c
96,Cobl
97,Col11a1
98,Col12a1
99,Col13a1
100,Col14a1
101,Col15a1
102,Col19a1
103,Col1a1
104,Col24a1
105,Col5a1
106,Colq
107,Copg2
108,Coro6
109,Cpne5
110,Cpne9
111,Crhr1
112,Crhr2
113,Csmd1
114,Csmd3
115,Cspg4
116,Cul1
117,Cux2
118,Cyb561
119,Cyp4f14
120,Cys1
121,Cyyr1
122,D030045p18rik
123,D1ertd622e
124,Dcaf12l1
125,Dcc
126,Dcdc2a
127,Dclk3
128,Deptor
129,Dgkz
130,Dhrs3
131,Dlg2
132,Dlgap1
133,Dlx1
134,Dmrt2
135,Dnajb5
136,Dnm3
137,Dock4
138,Dock5
139,Dpp10
140,Dpp6
141,Drd2
142,Dscam
143,Dusp5
144,Ecel1
145,Edil3
146,Eepd1
147,Egfem1
148,Egfr
149,Elavl2
150,Elfn1
151,Elk3
152,Emilin2
153,Endou
154,Epha6
155,Epor
156,Erbb4
157,Erc2
158,Erg
159,Esrrg
160,Etl4
161,Etv1
162,Evc2
163,Exd2
164,Exph5
165,Eya4
166,F2rl2
167,Fa2h
168,Fam155a
169,Fam163a
170,Fam171a2
171,Fam19a2
172,Fam84b
173,Fat3
174,Fbxl7
175,Fgf11
176,Fgf14
177,Fgfr3
178,Fibcd1
179,Fndc1
180,Fosb
181,Foxo6
182,Foxp1
183,Foxp2
184,Fras1
185,Frem1
186,Frem2
187,Frmd7
188,Frmpd1
189,Frmpd4
190,Fscn1
191,Fstl4
192,Fstl5
193,Fuom
194,Gabra4
195,Gabrg1
