sample_name,consensus_cluster,reference_cluster,reference_color,broad_class,subclass,merged_cluster_smFISH,merged_cluster_ISS
LS-14690_S05_E1-50,cl108_e49_NA_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S07_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S08_E1-50,cl163_e33_Nxf7_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S09_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S10_E1-50,cl5_i231_Nov_Vip,Vip Htr1f,#FF4DC1,Inh,Vip,Vip_3,Vip Htr1f
LS-14690_S12_E1-50,cl108_e49_NA_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S15_E1-50,cl1_e421_Cst3_L4,VISp L4 Rspo1,#00979D,Ex,L4,L4,VISp L4 Rspo1
LS-14690_S16_E1-50,cl151_i35_Gpr63_Lamp5,Lamp5 Slc35d3,#FFA388,Inh,Lamp5,Lamp5_2,Lamp5 Slc35d3
LS-14690_S17_E1-50,cl70_e70_Abca12_L5_NP,VISp L5 NP Rapgef3,#008F39,Ex,L5 NP,L5 NP,VISp L5 NP Rapgef3
LS-14690_S18_E1-50,cl97_i57_Pdyn_Sst,Sst Hpse_1,#BF9F00,Inh,Sst,Sst_3,Sst Hpse_a
LS-14690_S19_E1-50,cl198_i24_Bard1_Vip,Vip C1ql1,#BD3D9A,Inh,Vip,Vip_3,Vip C1ql1
LS-14690_S20_E1-50,cl1008_e40_NA_L5_IT,VISp L5 IT Col6a1,#00FF00,Ex,L5 IT,L5 IT,VISp L5 IT Pld5
LS-14690_S21_E1-50,cl132_i43_Fbn1_Vip,Vip C1ql1,#BD3D9A,Inh,Vip,Vip_3,Vip C1ql1
LS-14690_S22_E1-50,cl5_i231_Nov_Vip,Vip Htr1f,#FF4DC1,Inh,Vip,Vip_3,Vip Htr1f
LS-14690_S24_E1-50,cl132_i43_Fbn1_Vip,Vip C1ql1,#BD3D9A,Inh,Vip,Vip_3,Vip C1ql1
